Go.	Geh.
He's very ill.	Er ist sehr krank.
Help yourself.	Bedien dich.
Help yourself.	Bedienen Sie sich.
Here he comes.	Da kommt er!
Here or to go?	Zum Mitnehmen oder zum Hieressen?
Here or to go?	Für hier oder zum Mitnehmen?
Here's $10.00.	Hier sind 10,00 $.
Hey, don't go.	Hey, geh nicht.
Hi, everybody.	Hallo an alle.
His nose bled.	Seine Nase blutete.
Hold on a sec.	Augenblick mal!
Hold on there.	Moment mal!
Hold on to it.	Lass nicht los!
Hold on to me.	Halte dich an mir fest.
Hold the door.	Halte die Tür!
Hold the rope.	Halte das Seil.
Hold the rope.	Halten Sie das Seil.
Hold the rope.	Haltet das Seil.
How about you?	Was ist mit euch?
How about you?	Was ist mit Ihnen?
How bad is it?	Wie schlimm ist es?
How beautiful!	Wie schön!
How can it be?	Wie kann das sein?
How did it go?	Wie war es?
How do I look?	Wie sehe ich aus?
How do you do?	Wie geht es dir?
How hot is it?	Wie heiß ist es?
How late am I?	Wie sehr habe ich mich verspätet?
How old is he?	Wie alt ist er?
How thrilling!	Wie aufregend!
How was lunch?	Wie war das Mittagessen?
How wonderful!	Wie schön!
Hurry up, Tom.	Beeil dich, Tom!
I admired Tom.	Ich bewunderte Tom.
I almost died.	Ich wäre fast gestorben.
I always walk.	Ich gehe immer zu Fuß.
I am American.	Ich bin Amerikanerin.
I am Japanese.	Ich bin Japaner.
I am Japanese.	Ich bin Japanerin.
I am a Muslim.	Ich bin ein Moslem.
I am a Muslim.	Ich bin Moslem.
I am all ears.	Ich bin ganz Ohr.
I am busy now.	Ich bin gerade beschäftigt.
I am coughing.	Ich huste.
I am diabetic.	Ich bin Diabetiker.
I am divorced.	Ich bin geschieden.
I am in Paris.	Ich bin in Paris.
I am not sure.	Ich bin mir nicht sicher.
I am not sure.	Ich bin nicht sicher.
I am outraged.	Ich bin empört.
I am sneezing.	Ich niese.
I am studying.	Ich studiere.
I am studying.	Ich lerne.
I am to blame.	Es ist meine Schuld.
I ate quickly.	Ich aß schnell.
I believe Tom.	Ich glaube Tom.
I believe you.	Ich glaube euch.
I believe you.	Ich glaube Ihnen.
I believe you.	Ich glaube dir.
I belong here.	Ich gehöre hierher.
I blacked out.	Ich wurde ohnmächtig.
I bought them.	Ich habe sie gekauft.
I burned them.	Ich hab sie verbrannt.
I came by bus.	Ich bin mit dem Bus gekommen.
I came by car.	Ich kam mit dem Auto.
I can be good.	Ich kann brav sein.
I can do more.	Ich kann mehr machen.
I can do that.	Ich kann das tun.
I can do this.	Ich kann das!
I can feel it.	Ich kann es spüren.
I can see Tom.	Ich kann Tom sehen.
I can't do it.	Ich kann es nicht.
I can't do it.	Ich kann das nicht.
I can't do it.	Das bekomme ich nicht hin.
I can't drive.	Ich kann nicht fahren.
I can't drive.	Ich kann kein Auto fahren.
I can't go on.	Ich kann nicht mehr weitermachen.
I can't leave.	Ich kann nicht gehen.
I can't sleep.	Ich kann nicht schlafen.
I can't smoke.	Ich kann nicht rauchen.
I can't stand.	Ich kann nicht stehen.
I can't watch.	Ich kann nicht zusehen.
I caused this.	Ich habe das hier herbeigeführt.
I contributed.	Ich habe dazu beigetragen.
I cough a lot.	Ich huste viel.
I cried a lot.	Ich weinte viel.
I cried a lot.	Ich habe viel geweint.
I cried today.	Ich habe heute geweint.
I deserved it.	Ich habe es verdient.
I despise Tom.	Ich verachte Tom.
I did nothing.	Ich habe nichts getan.
I didn't call.	Ich habe nicht gerufen.
I didn't call.	Ich habe nicht angerufen.
I didn't look.	Ich habe nicht hingesehen.
I didn't sing.	Ich habe nicht gesungen.
I didn't swim.	Ich bin nicht geschwommen.
I didn't wait.	Ich habe nicht gewartet.
I dislike Tom.	Ich mag Tom nicht.
I disliked it.	Es gefiel mir nicht.
I do like Tom.	Ich mag Tom wirklich.
I do like you.	Ich mag dich wirklich.
I do love you.	Ich liebe dich wirklich.
I do think so.	Ich glaube schon.
I don't agree.	Ich bin anderer Meinung.
I don't curse.	Ich fluche nicht.
I don't dance.	Ich tanze nicht.
I don't dream.	Ich träume nicht.
I don't drink.	Ich trinke nicht.
I don't snore.	Ich schnarche nicht.
I don't study.	Ich studiere nicht.
I dream a lot.	Ich träume viel.
I dye my hair.	Ich färbe mein Haar.
I dye my hair.	Ich färbe meine Haare.
I enjoy chess.	Ich spiele gerne Schach.
I enjoy music.	Musik macht mir Freude.
I exaggerated.	Ich habe übertrieben.
I fed the dog.	Ich habe den Hund gefüttert.
I feel guilty.	Ich fühle mich schuldig.
I feel it now.	Jetzt fühle ich es.
I feel my age.	Ich spüre mein Alter.
I feel my age.	Ich fühle mein Alter.
I feel queasy.	Mir ist ganz flau.
I feel strong.	Ich fühle mich stark.
I feel stupid.	Ich fühle mich dumm.
I fell asleep.	Ich bin eingeschlafen.
I fell asleep.	Ich schlief ein.
I felt guilty.	Ich hatte ein schlechtes Gewissen.
I felt hungry.	Ich hatte Hunger.
I felt lonely.	Ich fühlte mich allein.
I forgave Tom.	Ich habe Tom verziehen.
I found these.	Ich habe die hier gefunden.
I freaked out.	Ich bin ausgeflippt.
I freaked out.	Ich bin ausgerastet.
I get nervous.	Ich werde nervös.
I got cheated.	Ich habe geschummelt.
I got it free.	Ich hab's umsonst bekommen.
I got married.	Ich habe geheiratet.
I got nervous.	Ich wurde nervös.
I got the flu.	Ich habe Grippe.
I had no clue.	Ich hatte keine Ahnung.
I had to hide.	Ich musste mich verstecken.
I had to work.	Ich musste arbeiten.
I hate Boston.	Ich hasse Boston.
I hate French.	Ich hasse Französisch.
I hate French.	Ich kann Französisch nicht leiden.
I hate celery.	Ich hasse Sellerie.
I hate coffee.	Ich hasse Kaffee.
I hate coffee.	Ich kann Kaffee nicht ausstehen.
I hate coffee.	Ich kann Kaffee nicht leiden.
I hate losing.	Ich hasse es zu verlieren.
I hate my job.	Ich hasse meine Arbeit.
I hate myself.	Ich hasse mich selbst.
I hate winter.	Ich hasse den Winter.
I have a boat.	Ich habe ein Boot.
I have a book.	Ich habe ein Buch.
I have a cold.	Ich bin erkältet.
I have a cold.	Ich habe einen Schnupfen.
I have a cold.	Ich leide an einer Erkältung.
I have a cold.	Ich habe eine Erkältung.
I have a date.	Ich habe eine Verabredung.
I have a home.	Ich habe ein Zuhause.
I have a ring.	Ich habe einen Ring.
I have a twin.	Ich habe einen Zwilling.
I have a visa.	Ich habe ein Visum.
I have a wife.	Ich habe eine Frau.
I have an egg.	Ich habe ein Ei.
I have cancer.	Ich habe Krebs.
I have doubts.	Ich habe Zweifel.
I have failed.	Ich bin gescheitert.
I have had it.	Ich bin bedient.
I have orders.	Ich habe Befehle.
I have sinned.	Ich habe gesündigt.
I have to eat.	Ich muss essen.
I have to run.	Ich muss rennen.
I have to try.	Ich muss es versuchen.
I have to win.	Ich muss gewinnen.
I have to win.	Ich muss siegen.
I hear voices.	Ich höre Stimmen.
I hope we win.	Ich hoffe, wir gewinnen.
I just did it.	Ich habe es gerade getan.
I just did it.	Ich habe es einfach getan.
I just got up.	Ich bin gerade aufgestanden.
I just smiled.	Ich lächelte einfach.
I kid you not.	Ich scherze nicht.
I know Boston.	Ich kenne Boston.
I know French.	Ich kann Französisch.
I know my job.	Ich kenne mich in meinem Beruf aus.
I know people.	Ich weiß, wie Menschen sind.
I know things.	Ich weiß so manches.
I led the way.	Ich ging voran.
I let it fall.	Ich lasse es fallen.
I let it fall.	Ich habe es fallengelassen.
I lied to Tom.	Ich habe Tom angelogen.
I like Boston.	Ich mag Boston.
I like French.	Ich mag das Französische.
I like apples.	Ich mag Äpfel.
I like apples.	Ich mag Äpfel gerne.
I like clocks.	Ich mag Uhren.
I like donuts.	Ich esse gerne Berliner.
I like garlic.	Ich mag Knoblauch.
I like horses.	Ich mag Pferde.
I like it hot.	Ich mag es heiß.
I like movies.	Ich mag Filme.
I like my job.	Mir gefällt mein Job.
I like onions.	Ich mag gerne Zwiebeln.
I like onions.	Ich mag Zwiebeln.
I like reggae.	Ich mag Reggae.
I like salmon.	Ich liebe Lachs.
I like salmon.	Ich mag gerne Lachs.
I like school.	Ich mag die Schule.
I like skiing.	Ich fahre gern Ski.
I like spoons.	Ich mag Löffel.
I like sports.	Ich mag Sport.
I like sports.	Ich liebe Sport.
I like spring.	Ich mag den Frühling.
I like sweets.	Ich mag Süßes.
I like sweets.	Ich mag Süßigkeiten.
I like tennis.	Ich mag Tennis.
I like to eat.	Ich mag was essen.
I like to eat.	Ich esse gern.
I like to run.	Ich gehe gerne Joggen.
I like to run.	Ich laufe gern.
I like trains.	Ich mag Züge.
I like tulips.	Ich mag Tulpen.
I like winter.	Ich mag Winter.
I looked down.	Ich sah nach unten.
I lost my key.	Ich habe meinen Schlüssel verloren.
I lost my key.	Ich verlor den Schlüssel.
I love Boston.	Ich liebe Boston.
I love French.	Ich liebe Französisch.
I love Monday!	Ich liebe den Montag!
I love autumn.	Ich liebe den Herbst.
I love camels.	Ich mag Kamele.
I love coffee.	Ich mag Kaffee.
I love garlic.	Ich liebe Knoblauch.
I love horses.	Ich liebe Pferde.
I love movies.	Ich liebe Spielfilme.
I love movies.	Ich liebe Filme.
I love my cat.	Ich liebe meine Katze.
I love my dad.	Ich liebe meinen Vater.
I love my dog.	Ich liebe meinen Hund.
I love my son.	Ich liebe meinen Sohn.
I love nature.	Ich liebe die Natur.
I love pandas.	Ich liebe Pandas.
I love plants.	Ich liebe Pflanzen.
I love sports.	Ich liebe Sport.
I love to eat.	Ich esse für mein Leben gern.
I made Tom go.	Ich habe Tom veranlasst zu gehen.
I made a fist.	Ich machte eine Faust.
I made a list.	Ich habe eine Liste gemacht.
I made coffee.	Ich habe Kaffee gekocht.
I made coffee.	Ich habe Kaffee aufgegossen.
I made dinner.	Ich habe das Abendessen zubereitet.
I made him go.	Ich habe ihn dazu gebracht zu gehen.
I made him go.	Ich hab dafür gesorgt, dass er geht.
I made supper.	Ich habe Abendbrot gemacht.
I made supper.	Ich habe das Abendbrot zubereitet.
I married Tom.	Ich heiratete Tom.
I may do that.	Ich kann das tun.
I may do that.	Ich mache das vielleicht.
I miss Boston.	Ich vermisse Boston.
I miss Boston.	Boston fehlt mir.
I miss my cat.	Ich vermisse meine Katze.
I miss my mom.	Ich vermisse meine Mama.
I must fix it.	Ich muss es reparieren.
I must go now.	Ich muss jetzt gehen.
I must go now.	Ich muss jetzt los.
I must go out.	Ich muss rausgehen.
I must refuse.	Ich muss mich weigern.
I must resist.	Ich muss mich wehren.
I must resist.	Ich muss dagegen ankämpfen.
I must see it.	Das muss ich sehen.
I nearly died.	Ich wäre beinahe gestorben.
I need a coat.	Ich brauche eine Jacke.
I need a coat.	Ich brauche einen Mantel.
I need a crew.	Ich brauche eine Crew.
I need a loan.	Ich brauche einen Kredit.
I need a plan.	Ich brauche einen Plan.
I need coffee.	Ich brauche Kaffee.
I need my key.	Ich brauche meinen Schlüssel.
I need stamps.	Ich brauche Briefmarken.
I need to eat.	Ich muss essen.
I needed help.	Ich brauchte Hilfe.
I never drink.	Ich trinke nie.
I own a horse.	Ich besitze ein Pferd.
I play tennis.	Ich spiele Tennis.
I play violin.	Ich spiele Geige.
I play violin.	Ich spiele Violine.
I put it back.	Ich hab's zurückgetan.
I quite agree.	Ich stimme ganz zu.
I ran outside.	Ich rannte nach draußen.
I read a book.	Ich las ein Buch.
I read a book.	Ich habe ein Buch gelesen.
I rely on Tom.	Ich verlasse mich auf Tom.
I rescued her.	Ich rettete sie.
I rescued him.	Ich rettete ihn.
I rescued you.	Ich rettete dich.
I respect Tom.	Ich respektiere Tom.
I said I'd go.	Ich sagte, ich würde gehen.
I said get up!	Ich sagte, steht auf!
I said get up!	Ich sagte, steh auf!
I said thanks.	Ich bedankte mich.
I saw Tom die.	Ich sah Tom sterben.
I saw a mouse!	Ich habe eine Maus gesehen!
I saw a plane.	Ich habe ein Flugzeug gesehen.
I saw a plane.	Ich sah ein Flugzeug.
I saw it, too.	Ich sah es auch.
I saw nothing.	Ich habe nichts gesehen.
I saw nothing.	Ich sah nichts.
I saw someone.	Ich habe jemanden gesehen.
I saw the dog.	Ich habe den Hund gesehen.
I say it's OK.	Ich sage, es ist okay.
I see a crown.	Ich sehe eine Krone.
I see a house.	Ich sehe ein Haus.
I see a mouse.	Ich sehe eine Maus.
I see someone.	Ich sehe jemanden.
I see the boy.	Ich sehe den Jungen.
I seldom sing.	Ich singe selten.
I slept a lot.	Ich habe viel geschlafen.
I smell a rat.	Da kommt mir etwas faul dran vor.
I sold a book.	Ich habe ein Buch verkauft.
I support Tom.	Ich unterstütze Tom.
I support him.	Ich unterstütze ihn.
I think I can.	Ich glaube, ich kann's.
I told a joke.	Ich habe einen Witz erzählt.
I told you so.	Ich hab's dir ja gesagt!
I told you so.	Das habe ich doch gleich gesagt.
I told you so.	Ich hab’s dir ja gesagt.
I took a walk.	Ich habe einen Spaziergang gemacht.
I trusted Tom.	Ich vertraute Tom.
I use Twitter.	Ich nutze Twitter.
I visited Tom.	Ich habe Tom besucht.
I volunteered.	Ich habe mich freiwillig gemeldet.
I volunteered.	Ich meldete mich freiwillig.
I want a beer.	Ich will ein Bier.
I want a book.	Ich will ein Buch.
I want a pony.	Ich will ein Pferdchen.
I want a pony.	Ich möchte ein Pony.
I want a pool.	Ich will ein Schwimmbecken.
I want it all.	Ich will alles.
I want it now.	Ich möchte es jetzt.
I want my mom.	Ich will meine Mutter.
I want to cry.	Mir ist zum Weinen zumute.
I want to die.	Ich will sterben.
I want to eat.	Ich will essen.
I want to run.	Ich möchte laufen.
I want to try.	Ich will es versuchen.
I want to win.	Ich will gewinnen.
I want to win.	Ich will siegen.
I wanted more.	Ich wollte mehr.
I wanted more.	Ich wollte noch mehr.
I wanted that.	Ich wollte das.
I wanted this.	Ich wollte das.
I was ashamed.	Ich schämte mich.
I was ashamed.	Ich habe mich geschämt.
I was at home.	Ich war zuhause.
I was at home.	Ich war zu Hause.
I was at home.	Ich war daheim.
I was at work.	Ich war auf der Arbeit.
I was bullied.	Ich bin gehänselt worden.
I was careful.	Ich war vorsichtig.
I was correct.	Ich hatte Recht.
I was furious.	Ich war wütend.
I was invited.	Ich war eingeladen.
I was jealous.	Ich war eifersüchtig.
I was married.	Ich war verheiratet.
I was nervous.	Ich war nervös.
I was reading.	Ich las.
I was reading.	Ich war am Lesen.
I was serious.	Ich meinte es ernst.
I was so cold.	Mir war so kalt.
I was tempted.	Ich war versucht.
I was thirsty.	Ich hatte Durst.
I was too shy.	Ich war zu schüchtern.
I was worried.	Ich habe mir Sorgen gemacht.
I wasn't busy.	Ich hatte nichts zu tun.
I wasn't home.	Ich war nicht zu Hause.
I wasn't sure.	Ich war mir nicht sicher.
I wasn't told.	Man hat mir nicht Bescheid gegeben.
I watched Tom.	Ich habe Tom beobachtet.
I watched you.	Ich habe dich beobachtet.
I watched you.	Ich habe dir zugesehen.
I went aboard.	Ich ging an Bord.
I went hiking.	Ich bin wandern gegangen.
I went inside.	Ich ging hinein.
I will listen.	Ich werde zuhören.
I woke Tom up.	Ich weckte Tom.
I woke you up.	Ich weckte dich.
I won't dance.	Ich werde nicht tanzen.
I won't laugh.	Ich werde nicht lachen.
I won't leave.	Ich werde nicht gehen.
I work nights.	Ich arbeite nachts.
I write poems.	Ich schreibe Gedichte.
I write songs.	Ich schreibe Lieder.
I'd like that.	Das würde mir wohl gefallen.
I'd like that.	Das gefiele mir.
I'd like that.	Das könnte mir gefallen.
I'll allow it.	Ich erlaube es.
I'll allow it.	Ich werde es zulassen.
I'll be alone.	Ich werde allein sein.
I'll be brief.	Ich werde mich kurz fassen.
I'll be going.	Ich werde gehen.
I'll be there.	Ich werde dort sein.
I'll buy that.	Das kaufe ich.
I'll buy this.	Ich werde dies kaufen.
I'll call Tom.	Ich rufe Tom an.
I'll call Tom.	Ich rufe mal Tom.
I'll call you.	Ich rufe dich.
I'll check it.	Ich werde es überprüfen.
I'll fire Tom.	Ich werde Tom feuern.
I'll fix that.	Ich werde das reparieren.
I'll fix that.	Ich werde das in Ordnung bringen.
I'll fix this.	Ich werde das in Ordnung bringen.
I'll get help.	Ich hole Hilfe.
I'll get that.	Ich werde das bekommen.
I'll get this.	Ich werde das bekommen.
I'll go there.	Ich werde da hingehen.
I'll help Tom.	Ich werde Tom helfen.
I'll help you.	Ich helfe dir.
I'll help you.	Ich werde dir helfen.
I'll join you.	Ich mache mit.
I'll kill him.	Ich werde ihn umbringen.
I'll kill you.	Ich töte dich.
I'll kill you.	Ich werde dich töten.
I'll miss Tom.	Tom wird mir fehlen.
I'll miss Tom.	Ich werde Tom vermissen.
I'll miss you.	Du wirst mir fehlen.
I'll miss you.	Ich werde dich vermissen.
I'll page Tom.	Ich werde Tom ausrufen lassen.
I'll prove it.	Ich werde es beweisen.
I'll show you.	Ich zeig's dir.
I'll show you.	Ich zeig's euch.
I'll show you.	Ich zeige es Ihnen.
I'll stop Tom.	Ich werde Tom stoppen.
I'll stop you.	Ich werde es verhindern.
I'll stop you.	Ich werde dich stoppen.
I'll take Tom.	Ich nehme Tom.
I'll take Tom.	Ich übernehme Tom.
I'll take Tom.	Ich kümmere mich um Tom.
I'll take him.	Ich nehme ihn.
I'll take one.	Ich werde eines nehmen.
I'll tell Tom.	Ich werde es Tom sagen.
I'll tell Tom.	Ich sag's Tom.
I'll tell you.	Ich werde es dir sagen.
I'll tell you.	Ich werde es Ihnen sagen.
I'll try that.	Ich werde es probieren.
I'll warn Tom.	Ich werde Tom warnen.
I'll watch TV.	Ich werde fernsehen.
I'll watch it.	Ich werde es mir ansehen.
I'm Tom's dad.	Ich bin Toms Vater.
I'm Tom's mom.	Ich bin Toms Mutter.
I'm a colonel.	Ich bin Oberst.
I'm a cripple.	Ich bin ein Krüppel.
I'm a dentist.	Ich bin Zahnarzt.
I'm a dentist.	Ich bin Zahnärztin.
I'm a fireman.	Ich bin Feuerwehrmann.
I'm a man now.	Ich bin jetzt ein Mann.
I'm a painter.	Ich bin Maler.
I'm a patient.	Ich bin eine Patientin.
I'm a patient.	Ich bin ein Patient.
I'm a redhead.	Ich bin ein Rotschopf.
I'm a shy boy.	Ich bin ein schüchterner Junge.
I'm a soldier.	Ich bin Soldat.
I'm a soldier.	Ich bin Soldatin.
I'm a student.	Ich bin Student.
I'm a student.	Ich bin Schüler.
I'm a student.	Ich bin Schülerin.
I'm a student.	Ich bin Studentin.
I'm a suspect.	Ich bin ein Tatverdächtiger.
I'm a teacher.	Ich bin Lehrer.
I'm a teacher.	Ich bin Lehrerin.
I'm a tourist.	Ich bin Tourist.
I'm a tourist.	Ich bin ein Tourist.
I'm afraid so.	Ich fürchte, ja.
I'm all right.	Mir geht es gut.
I'm all right.	Es geht mir gut.
I'm alone now.	Ich bin jetzt allein.
I'm an addict.	Ich bin ein Süchtiger.
I'm an artist.	Ich bin ein Künstler.
I'm an artist.	Ich bin Künstler.
I'm an orphan.	Ich bin ein Waisenkind.
I'm angry now.	Jetzt bin ich wütend.
I'm at school.	Ich bin in der Schule.
I'm attentive.	Ich bin aufmerksam.
I'm awake now.	Ich bin jetzt wach.
I'm back home.	Ich bin wieder zuhause.
I'm beautiful.	Ich bin schön.
I'm busy here.	Ich bin hier beschäftigt.
I'm busy, too.	Ich habe auch zu tun.
I'm busy, too.	Ich bin auch beschäftigt.
I'm coming in.	Ich komme herein.
I'm concerned.	Ich bin besorgt.
I'm convinced.	Ich bin überzeugt.
I'm dangerous.	Ich bin gefährlich.
I'm dedicated.	Ich bin engagiert.
I'm depressed.	Ich bin niedergeschlagen.
I'm depressed.	Ich bin depressiv.
I'm different.	Ich bin anders.
I'm down here.	Ich bin hier unten.
I'm easygoing.	Ich bin gelassen.
I'm exhausted.	Ich bin sehr müde.
I'm exhausted.	Ich bin erschöpft.
I'm exhausted.	Ich bin kaputt.
I'm expecting.	Ich bin schwanger.
I'm expecting.	Ich bin guter Hoffnung.
I'm flattered.	Ich fühle mich sehr geschmeichelt.
I'm going mad.	Ich werde wahnsinnig.
I'm going now.	Ich gehe jetzt.
I'm here, too.	Ich bin auch hier.
I'm home, Tom.	Ich bin zu Hause, Tom.
I'm impatient.	Ich bin ungeduldig.
I'm important.	Ich bin wichtig.
I'm impressed.	Ich bin beeindruckt.
I'm in Boston.	Ich bin in Boston.
I'm in a gang.	Ich bin in einer Gang.
I'm in danger.	Ich bin in Gefahr.
I'm in denial.	Ich will es nicht wahrhaben.
I'm in my car.	Ich bin in meinem Auto.
I'm in school.	Ich bin in der Schule.
I'm just lazy.	Ich bin einfach nur faul.
I'm listening.	Ich höre.
I'm miserable.	Ich bin unglücklich.
I'm motivated.	Ich bin motiviert.
I'm no expert.	Ich bin nicht vom Fach.
I'm no expert.	Ich bin kein Fachmann.
I'm no expert.	Ich bin kein Mann vom Fach.
I'm not a spy.	Ich bin kein Spion.
I'm not alone.	Ich bin nicht allein.
I'm not angry!	Ich bin nicht böse!
I'm not armed.	Ich bin nicht bewaffnet.
I'm not blind.	Ich bin nicht blind.
I'm not brave.	Ich bin nicht mutig.
I'm not crazy.	Ich bin nicht verrückt.
I'm not dying.	Ich sterbe nicht.
I'm not going.	Ich gehe nicht.
I'm not happy.	Ich bin nicht glücklich.
I'm not naive.	Ich bin nicht naiv.
I'm not obese.	Ich bin nicht übergewichtig.
I'm not ready.	Ich bin noch nicht soweit.
I'm not ready.	Ich bin nicht bereit.
I'm not tired.	Ich bin nicht müde.
I'm not upset.	Ich bin nicht bestürzt.
I'm off today.	Ich habe heute frei.
I'm on a diet.	Ich bin auf Diät.
I'm on my own.	Ich bin allein.
I'm on my way.	Ich bin auf dem Weg.
I'm on my way.	Ich bin unterwegs.
I'm over here.	Ich bin hier drüben.
I'm ready now.	Ich bin jetzt so weit.
I'm safe here.	Hier bin ich in Sicherheit.
I'm satisfied.	Ich bin zufrieden.
I'm saying no.	Ich sage nein.
I'm skeptical.	Ich bin skeptisch.
I'm surprised.	Ich bin überrascht.
I'm too drunk.	Ich bin zu betrunken.
I'm too tired.	Ich bin zu müde.
I'm too young.	Ich bin zu jung.
I'm uninsured.	Ich bin nicht versichert.
I'm uninsured.	Ich bin unversichert.
I'm very busy.	Ich bin sehr beschäftigt.
I'm very cold.	Mir ist sehr kalt.
I'm very lazy.	Ich bin überaus faul.
I'm very poor.	Ich bin sehr arm.
I'm very rich.	Ich bin sehr reich.
I'm very tall.	Ich bin sehr groß.
I'm very thin.	Ich bin sehr dünn.
I'm very weak.	Ich bin sehr schwach.
I'm your boss.	Ich bin dein Chef.
I've found it.	Ich habe es gefunden!
I've got kids.	Ich habe Kinder.
I've got more.	Ich habe noch mehr.
I've got that.	Das habe ich verstanden.
I've got that.	Das habe ich kapiert.
I've got time.	Ich habe Zeit.
I've got wine.	Ich habe Wein.
I've returned.	Ich bin zurückgekommen.
I've seen Tom.	Ich habe Tom gesehen.
I've seen Tom.	Ich habe Tom getroffen.
I've seen Tom.	Ich bin bei Tom gewesen.
Is Tom around?	Ist Tom da?
Is Tom asleep?	Schläft Tom?
Is Tom coming?	Kommt Tom?
Is Tom famous?	Ist Tom berühmt?
Is Tom guilty?	Ist Tom schuldig?
Is Tom hungry?	Hat Tom Hunger?
Is Tom hungry?	Ist Tom hungrig?
Is Tom lonely?	Ist Tom einsam?
Is Tom nearby?	Ist Tom in der Nähe?
Is Tom stupid?	Ist Tom dumm?
Is he at home?	Ist er daheim?
Is he correct?	Hat er recht?
Is he looking?	Sucht er gerade?
Is it a llama?	Ist das ein Lama?
Is it damaged?	Ist es beschädigt?
Is it damaged?	Ist sie beschädigt?
Is it damaged?	Ist er beschädigt?
Is it helping?	Hilft es?
Is it my turn?	Bin ich dran?
Is it my turn?	Bin ich an der Reihe?
Is it popular?	Ist es beliebt?
Is it serious?	Ist es etwas Ernstes?
Is it snowing?	Schneit es?
Is it strange?	Ist das komisch?
Is it too big?	Ist es zu groß?
Is it too big?	Ist das zu groß?
Is it working?	Funktioniert das?
Is it working?	Funktioniert’s?
Is that Tom's?	Ist das Toms?
Is that a bat?	Ist das eine Fledermaus?
Is that a cat?	Ist das eine Katze?
Is that a lot?	Ist das viel?
Is that a wig?	Ist das eine Perücke?
Is that a yes?	Ist das ein Ja?
Is that blood?	Ist das Blut?
Is that legal?	Ist das legal?
Is that sugar?	Ist das Zucker?
Is that sweet?	Ist das süß?
Is that weird?	Ist das komisch?
Is that yours?	Gehört das dir?
Is there more?	Gibt es noch mehr?
Is this Tom's?	Gehört das Tom?
Is this blood?	Ist das Blut?
Is this legal?	Ist das legal?
Is this legal?	Ist das rechtens?
Is this yours?	Ist das hier deins?
Is this yours?	Gehört dies Ihnen?
Is this yours?	Gehört das hier euch?
Isn't it cool?	Ist das nicht cool?
Isn't it flat?	Ist es nicht eben?
Isn't it true?	Stimmt das nicht?
It came apart.	Es ging kaputt.
It came apart.	Es fiel auseinander.
It did happen.	Es ist tatsächlich passiert.
It gets worse.	Es wird schlimmer.
It gets worse.	Er wird schlimmer.
It gets worse.	Sie wird schlimmer.
It had snowed.	Es hatte geschneit.
It hurts here.	Ich habe hier Schmerzen.
It hurts here.	Es tut hier weh.
It is a curse.	Es ist ein Fluch.
It is no joke.	Das ist kein Witz.
It is no joke.	Das ist kein Scherz!
It is raining.	Es regnet.
It is too hot.	Es ist zu heiß.
It isn't easy.	Es ist nicht einfach.
It isn't easy.	Es ist nicht leicht.
It isn't good.	Es ist nicht gut.
It isn't mine.	Es ist nicht meins.
It isn't mine.	Das ist nicht meins.
It isn't true.	Es ist nicht wahr.
It looks fine.	Es sieht gut aus.
It looks good.	Das sieht gut aus.
It might rain.	Es könnte regnen.
It seems easy.	Das sieht einfach aus.
It sickens me.	Es macht mich krank.
It sickens me.	Das macht mich krank.
It smells bad.	Es riecht übel.
It smells bad.	Es hat einen üblen Geruch.
It takes time.	Das braucht Zeit.
It was a gift.	Es war ein Geschenk.
It was a joke.	Es war ein Witz.
It was a trap.	Das war eine Falle.
It was chilly.	Es war frostig.
It was ironic.	Es war ironisch.
It was simple.	Es war einfach.
It was stupid.	Es war dumm.
It was superb.	Es war großartig.
It was urgent.	Es eilte.
It was urgent.	Es war dringend.
It won't hurt.	Es wird nicht schaden.
It won't hurt.	Es wird nicht wehtun.
It won't work.	Das geht nicht.
It won't work.	Das wird nicht funktionieren.
It works fine.	Es klappt gut.
It works well.	Es funktioniert gut.
It works well.	Es klappt gut.
It'll be fine.	Es wird gut gehen.
It'll be good.	Es wird gut sein.
It's 2:00 p.m.	Es ist 14 Uhr.
It's 8:00 p.m.	Es ist acht Uhr abends.
It's Saturday.	Es ist Samstag.
It's a fungus.	Es ist ein Pilz.
It's a relief.	Das ist eine Erleichterung.
It's a secret.	Es ist ein Geheimnis.
It's accurate.	Es trifft zu.
It's all mine.	Das gehört alles mir.
It's all over.	Die Sache ist gelaufen.
It's all over.	Jetzt ist der Ofen aus.
It's all over.	Es ist alles vorbei.
It's all over.	Alles ist vorbei.
It's an honor.	Es ist eine Ehre.
It's an order.	Das ist ein Befehl.
It's annoying.	Es nervt.
It's been fun.	Es hat Spaß gemacht.
It's business.	Das gehört zum Geschäft.
It's close by.	Es liegt in der Nähe.
It's close by.	Es ist in der Nähe.
It's cold now.	Es ist jetzt kalt.
It's dark now.	Es ist jetzt dunkel.
It's exciting.	Es ist aufregend.
It's fall now.	Es ist jetzt Herbst.
It's gorgeous.	Es ist wunderschön.
It's happened.	Es ist passiert.
It's happened.	Es ist geschehen.
It's homemade.	Das ist hausgemacht.
It's hopeless.	Es ist hoffnungslos.
It's hot here.	Es ist heiß hier.
It's improved.	Es hat sich verbessert.
It's inhumane.	Das ist unmenschlich.
It's midnight.	Es ist Mitternacht.
It's my fault.	Ich bin schuld daran.
It's my fault.	Es ist meine Schuld.
It's my horse.	Es ist mein Pferd.
It's my horse.	Das ist mein Pferd.
